c-return Loader:81 Kernel set_trace_func
  c-call DataManager:119 Hash default
c-return DataManager:119 Hash default
  c-call DataManager:119 Hash default
c-return DataManager:119 Hash default
  c-call DataManager:119 Hash default
c-return DataManager:119 Hash default
  c-call DataManager:119 Hash default
c-return DataManager:119 Hash default
c-return DataManager:119 Dir glob
  c-call DataManager:119 Array empty?
c-return DataManager:119 Array empty?
  return DataManager:120 DataManager save_file_exists?
  return Window_TitleCommand:45 Window_TitleCommand continue_enabled
    call Window_Command_2:63 Window_Command add_command
    line Window_Command_2:64 Window_Command add_command
  c-call Window_Command_2:64 Array push
c-return Window_Command_2:64 Array push
  return Window_Command_2:65 Window_Command add_command
    line Window_TitleCommand:38 Window_TitleCommand make_command_list
    call Vocab:141 Vocab shutdown
    line Vocab:141 Vocab shutdown
    call Vocab:104 Vocab command
    line Vocab:105 Vocab command
  return Vocab:106 Vocab command
  return Vocab:141 Vocab shutdown
    call Window_Command_2:63 Window_Command add_command
    line Window_Command_2:64 Window_Command add_command
  c-call Window_Command_2:64 Array push
c-return Window_Command_2:64 Array push
  return Window_Command_2:65 Window_Command add_command
  return Window_TitleCommand:39 Window_TitleCommand make_command_list
    line Window_Command_2:144 Window_Command refresh
    call Window_Base:72 Window_Base create_contents
    line Window_Base:73 Window_Base create_contents
  c-call Window_Base:73 Window contents
c-return Window_Base:73 Window contents
  c-call Window_Base:73 Bitmap dispose
c-return Window_Base:73 Bitmap dispose
    line Window_Base:74 Window_Base create_contents
    call Window_Base:48 Window_Base contents_width
    line Window_Base:49 Window_Base contents_width
  c-call Window_Base:49 Window width
c-return Window_Base:49 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
  return Window_Base:50 Window_Base contents_width
    call Window_Selectable:67 Window_Selectable contents_height
    line Window_Selectable:68 Window_Selectable contents_height
    call Window_Base:54 Window_Base contents_height
    line Window_Base:55 Window_Base contents_height
  c-call Window_Base:55 Window height
c-return Window_Base:55 Window height
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
  return Window_Base:56 Window_Base contents_height
    call Window_Base:54 Window_Base contents_height
    line Window_Base:55 Window_Base contents_height
  c-call Window_Base:55 Window height
c-return Window_Base:55 Window height
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
  return Window_Base:56 Window_Base contents_height
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
    call Window_Selectable:61 Window_Selectable row_max
    line Window_Selectable:62 Window_Selectable row_max
    line Window_Selectable:62 Window_Selectable row_max
    call Window_Command_2:42 Window_Command item_max
    line Window_Command_2:43 Window_Command item_max
  return Window_Command_2:44 Window_Command item_max
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
  c-call Window_Selectable:62 Enumerable max
  c-call Window_Selectable:62 Array each
  c-call Window_Selectable:62 Fixnum <=>
c-return Window_Selectable:62 Fixnum <=>
c-return Window_Selectable:62 Array each
c-return Window_Selectable:62 Enumerable max
  return Window_Selectable:63 Window_Selectable row_max
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:68 Enumerable max
  c-call Window_Selectable:68 Array each
  c-call Window_Selectable:68 Fixnum <=>
c-return Window_Selectable:68 Fixnum <=>
c-return Window_Selectable:68 Array each
c-return Window_Selectable:68 Enumerable max
  return Window_Selectable:69 Window_Selectable contents_height
    line Window_Base:75 Window_Base create_contents
    call Window_Base:48 Window_Base contents_width
    line Window_Base:49 Window_Base contents_width
  c-call Window_Base:49 Window width
c-return Window_Base:49 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
  return Window_Base:50 Window_Base contents_width
    call Window_Selectable:67 Window_Selectable contents_height
    line Window_Selectable:68 Window_Selectable contents_height
    call Window_Base:54 Window_Base contents_height
    line Window_Base:55 Window_Base contents_height
  c-call Window_Base:55 Window height
c-return Window_Base:55 Window height
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
  return Window_Base:56 Window_Base contents_height
    call Window_Base:54 Window_Base contents_height
    line Window_Base:55 Window_Base contents_height
  c-call Window_Base:55 Window height
c-return Window_Base:55 Window height
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
  return Window_Base:56 Window_Base contents_height
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
    call Window_Selectable:61 Window_Selectable row_max
    line Window_Selectable:62 Window_Selectable row_max
    line Window_Selectable:62 Window_Selectable row_max
    call Window_Command_2:42 Window_Command item_max
    line Window_Command_2:43 Window_Command item_max
  return Window_Command_2:44 Window_Command item_max
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
  c-call Window_Selectable:62 Enumerable max
  c-call Window_Selectable:62 Array each
  c-call Window_Selectable:62 Fixnum <=>
c-return Window_Selectable:62 Fixnum <=>
c-return Window_Selectable:62 Array each
c-return Window_Selectable:62 Enumerable max
  return Window_Selectable:63 Window_Selectable row_max
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:68 Enumerable max
  c-call Window_Selectable:68 Array each
  c-call Window_Selectable:68 Fixnum <=>
c-return Window_Selectable:68 Fixnum <=>
c-return Window_Selectable:68 Array each
c-return Window_Selectable:68 Enumerable max
  return Window_Selectable:69 Window_Selectable contents_height
  c-call Window_Base:75 Class new
  c-call Window_Base:75 Bitmap initialize
  c-call Window_Base:75 Font initialize
  c-call Window_Base:75 Font name=
c-return Window_Base:75 Font name=
  c-call Window_Base:75 Font size=
c-return Window_Base:75 Font size=
  c-call Window_Base:75 Font bold=
c-return Window_Base:75 Font bold=
  c-call Window_Base:75 Font italic=
c-return Window_Base:75 Font italic=
  c-call Window_Base:75 Font outline=
c-return Window_Base:75 Font outline=
  c-call Window_Base:75 Font shadow=
c-return Window_Base:75 Font shadow=
c-return Window_Base:75 Font initialize
c-return Window_Base:75 Bitmap initialize
c-return Window_Base:75 Class new
  c-call Window_Base:75 Window contents=
c-return Window_Base:75 Window contents=
  return Window_Base:79 Window_Base create_contents
    line Window_Command_2:145 Window_Command refresh
    call Window_Selectable:439 Window_Selectable refresh
    line Window_Selectable:440 Window_Selectable refresh
  c-call Window_Selectable:440 Window contents
c-return Window_Selectable:440 Window contents
  c-call Window_Selectable:440 Bitmap clear
c-return Window_Selectable:440 Bitmap clear
    line Window_Selectable:441 Window_Selectable refresh
    call Window_Selectable:409 Window_Selectable draw_all_items
    line Window_Selectable:410 Window_Selectable draw_all_items
    call Window_Command_2:42 Window_Command item_max
    line Window_Command_2:43 Window_Command item_max
  return Window_Command_2:44 Window_Command item_max
  c-call Window_Selectable:410 Integer times
    line Window_Selectable:410 Window_Selectable draw_all_items
    call Window_Command_2:150 Window_Command draw_item
    line Window_Command_2:151 Window_Command draw_item
    call Window_Selectable:172 Window_Selectable item_rect
    line Window_Selectable:173 Window_Selectable item_rect
  c-call Window_Selectable:173 Class new
  c-call Window_Selectable:173 Rect initialize
c-return Window_Selectable:173 Rect initialize
c-return Window_Selectable:173 Class new
    line Window_Selectable:174 Window_Selectable item_rect
    call Window_Selectable:49 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
  c-call Window_Selectable:50 Window width
c-return Window_Selectable:50 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  return Window_Selectable:51 Window_Selectable item_width
  c-call Window_Selectable:174 Rect width=
c-return Window_Selectable:174 Rect width=
    line Window_Selectable:175 Window_Selectable item_rect
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:175 Rect height=
c-return Window_Selectable:175 Rect height=
    line Window_Selectable:176 Window_Selectable item_rect
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    line Window_Selectable:176 Window_Selectable item_rect
    call Window_Selectable:49 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
  c-call Window_Selectable:50 Window width
c-return Window_Selectable:50 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  return Window_Selectable:51 Window_Selectable item_width
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  c-call Window_Selectable:176 Rect x=
c-return Window_Selectable:176 Rect x=
    line Window_Selectable:177 Window_Selectable item_rect
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:177 Rect y=
c-return Window_Selectable:177 Rect y=
    line Window_Selectable:178 Window_Selectable item_rect
  return Window_Selectable:179 Window_Selectable item_rect
    line Window_Command_2:152 Window_Command draw_item
  c-call Window_Command_2:152 Class new
    call Comp_TitleCommand:2 Comp_Command initialize
    line Comp_TitleCommand:3 Comp_Command initialize
    line Comp_TitleCommand:4 Comp_Command initialize
    line Comp_TitleCommand:6 Comp_Command initialize
  c-call Comp_TitleCommand:6 Window x
c-return Comp_TitleCommand:6 Window x
  c-call Comp_TitleCommand:6 Rect x
c-return Comp_TitleCommand:6 Rect x
  c-call Comp_TitleCommand:6 Window y
c-return Comp_TitleCommand:6 Window y
  c-call Comp_TitleCommand:6 Rect y
c-return Comp_TitleCommand:6 Rect y
  c-call Comp_TitleCommand:6 Rect width
c-return Comp_TitleCommand:6 Rect width
  c-call Comp_TitleCommand:6 Rect height
c-return Comp_TitleCommand:6 Rect height
  c-call Comp_TitleCommand:6 Window z
c-return Comp_TitleCommand:6 Window z
    call Mouse Comp:94 CMouse::Component initialize
    line Mouse Comp:95 CMouse::Component initialize
    line Mouse Comp:96 CMouse::Component initialize
    line Mouse Comp:97 CMouse::Component initialize
    line Mouse Comp:98 CMouse::Component initialize
    line Mouse Comp:99 CMouse::Component initialize
    line Mouse Comp:100 CMouse::Component initialize
    call Mouse Comp:52 CMouse::UICore add
    line Mouse Comp:55 CMouse::UICore add
  c-call Mouse Comp:55 Range each
    line Mouse Comp:56 CMouse::UICore add
    line Mouse Comp:57 CMouse::UICore add
  c-call Mouse Comp:57 Array insert
c-return Mouse Comp:57 Array insert
    line Mouse Comp:58 CMouse::UICore add
c-return Mouse Comp:55 Range each
  return Mouse Comp:55 CMouse::UICore add
    line Mouse Comp:101 CMouse::Component initialize
    line Mouse Comp:102 CMouse::Component initialize
    line Mouse Comp:106 CMouse::Component initialize
    line Mouse Comp:107 CMouse::Component initialize
    line Mouse Comp:108 CMouse::Component initialize
  c-call Mouse Comp:108 Class new
  c-call Mouse Comp:108 Sprite initialize
c-return Mouse Comp:108 Sprite initialize
c-return Mouse Comp:108 Class new
    line Mouse Comp:109 CMouse::Component initialize
  c-call Mouse Comp:109 Sprite x=
c-return Mouse Comp:109 Sprite x=
    line Mouse Comp:110 CMouse::Component initialize
  c-call Mouse Comp:110 Sprite y=
c-return Mouse Comp:110 Sprite y=
    line Mouse Comp:111 CMouse::Component initialize
  c-call Mouse Comp:111 Sprite z=
c-return Mouse Comp:111 Sprite z=
    line Mouse Comp:112 CMouse::Component initialize
  c-call Mouse Comp:112 Class new
  c-call Mouse Comp:112 Bitmap initialize
  c-call Mouse Comp:112 Font initialize
  c-call Mouse Comp:112 Font name=
c-return Mouse Comp:112 Font name=
  c-call Mouse Comp:112 Font size=
c-return Mouse Comp:112 Font size=
  c-call Mouse Comp:112 Font bold=
c-return Mouse Comp:112 Font bold=
  c-call Mouse Comp:112 Font italic=
c-return Mouse Comp:112 Font italic=
  c-call Mouse Comp:112 Font outline=
c-return Mouse Comp:112 Font outline=
  c-call Mouse Comp:112 Font shadow=
c-return Mouse Comp:112 Font shadow=
c-return Mouse Comp:112 Font initialize
c-return Mouse Comp:112 Bitmap initialize
c-return Mouse Comp:112 Class new
  c-call Mouse Comp:112 Sprite bitmap=
c-return Mouse Comp:112 Sprite bitmap=
    line Mouse Comp:113 CMouse::Component initialize
    call Comp_TitleCommand:8 Comp_Command onInit
  return Comp_TitleCommand:9 Comp_Command onInit
  return Mouse Comp:114 CMouse::Component initialize
  return Comp_TitleCommand:7 Comp_Command initialize
c-return Window_Command_2:152 Class new
  c-call Window_Command_2:152 Array push
c-return Window_Command_2:152 Array push
    line Window_Command_2:153 Window_Command draw_item
    call Window_Base:157 Window_Base normal_color
    line Window_Base:157 Window_Base normal_color
    call Window_Base:151 Window_Base text_color
    line Window_Base:152 Window_Base text_color
  c-call Window_Base:152 Window windowskin
c-return Window_Base:152 Window windowskin
    line Window_Base:152 Window_Base text_color
    line Window_Base:152 Window_Base text_color
  c-call Window_Base:152 Bitmap get_pixel
c-return Window_Base:152 Bitmap get_pixel
  return Window_Base:153 Window_Base text_color
  return Window_Base:157 Window_Base normal_color
    call Window_Command_2:75 Window_Command command_enabled?
    line Window_Command_2:76 Window_Command command_enabled?
  return Window_Command_2:77 Window_Command command_enabled?
    call Window_Base:188 Window_Base change_color
    line Window_Base:189 Window_Base change_color
  c-call Window_Base:189 Window contents
c-return Window_Base:189 Window contents
  c-call Window_Base:189 Bitmap font
c-return Window_Base:189 Bitmap font
  c-call Window_Base:189 Font color
c-return Window_Base:189 Font color
  c-call Window_Base:189 Color set
  c-call Window_Base:189 Font color=
c-return Window_Base:189 Font color=
c-return Window_Base:189 Color set
    line Window_Base:190 Window_Base change_color
  return Window_Base:191 Window_Base change_color
    line Window_Command_2:154 Window_Command draw_item
    call Window_Selectable:183 Window_Selectable item_rect_for_text
    line Window_Selectable:184 Window_Selectable item_rect_for_text
    call Window_Selectable:172 Window_Selectable item_rect
    line Window_Selectable:173 Window_Selectable item_rect
  c-call Window_Selectable:173 Class new
  c-call Window_Selectable:173 Rect initialize
c-return Window_Selectable:173 Rect initialize
c-return Window_Selectable:173 Class new
    line Window_Selectable:174 Window_Selectable item_rect
    call Window_Selectable:49 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
  c-call Window_Selectable:50 Window width
c-return Window_Selectable:50 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  return Window_Selectable:51 Window_Selectable item_width
  c-call Window_Selectable:174 Rect width=
c-return Window_Selectable:174 Rect width=
    line Window_Selectable:175 Window_Selectable item_rect
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:175 Rect height=
c-return Window_Selectable:175 Rect height=
    line Window_Selectable:176 Window_Selectable item_rect
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    line Window_Selectable:176 Window_Selectable item_rect
    call Window_Selectable:49 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
  c-call Window_Selectable:50 Window width
c-return Window_Selectable:50 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  return Window_Selectable:51 Window_Selectable item_width
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  c-call Window_Selectable:176 Rect x=
c-return Window_Selectable:176 Rect x=
    line Window_Selectable:177 Window_Selectable item_rect
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:177 Rect y=
c-return Window_Selectable:177 Rect y=
    line Window_Selectable:178 Window_Selectable item_rect
  return Window_Selectable:179 Window_Selectable item_rect
    line Window_Selectable:185 Window_Selectable item_rect_for_text
  c-call Window_Selectable:185 Rect x
c-return Window_Selectable:185 Rect x
  c-call Window_Selectable:185 Rect x=
c-return Window_Selectable:185 Rect x=
    line Window_Selectable:186 Window_Selectable item_rect_for_text
  c-call Window_Selectable:186 Rect width
c-return Window_Selectable:186 Rect width
  c-call Window_Selectable:186 Rect width=
c-return Window_Selectable:186 Rect width=
    line Window_Selectable:187 Window_Selectable item_rect_for_text
  return Window_Selectable:188 Window_Selectable item_rect_for_text
    call Window_Command_2:69 Window_Command command_name
    line Window_Command_2:70 Window_Command command_name
  return Window_Command_2:71 Window_Command command_name
    call Window_Command_2:117 Window_Command alignment
    line Window_Command_2:118 Window_Command alignment
  return Window_Command_2:119 Window_Command alignment
    call Window_Base:196 Window_Base draw_text
    line Window_Base:197 Window_Base draw_text
  c-call Window_Base:197 Window contents
c-return Window_Base:197 Window contents
  c-call Window_Base:197 Bitmap draw_text
c-return Window_Base:197 Bitmap draw_text
  return Window_Base:198 Window_Base draw_text
  return Window_Command_2:155 Window_Command draw_item
    line Window_Selectable:410 Window_Selectable draw_all_items
    call Window_Command_2:150 Window_Command draw_item
    line Window_Command_2:151 Window_Command draw_item
    call Window_Selectable:172 Window_Selectable item_rect
    line Window_Selectable:173 Window_Selectable item_rect
  c-call Window_Selectable:173 Class new
  c-call Window_Selectable:173 Rect initialize
c-return Window_Selectable:173 Rect initialize
c-return Window_Selectable:173 Class new
    line Window_Selectable:174 Window_Selectable item_rect
    call Window_Selectable:49 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
  c-call Window_Selectable:50 Window width
c-return Window_Selectable:50 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  return Window_Selectable:51 Window_Selectable item_width
  c-call Window_Selectable:174 Rect width=
c-return Window_Selectable:174 Rect width=
    line Window_Selectable:175 Window_Selectable item_rect
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:175 Rect height=
c-return Window_Selectable:175 Rect height=
    line Window_Selectable:176 Window_Selectable item_rect
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    line Window_Selectable:176 Window_Selectable item_rect
    call Window_Selectable:49 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
    line Window_Selectable:50 Window_Selectable item_width
  c-call Window_Selectable:50 Window width
c-return Window_Selectable:50 Window width
    call Window_Base:36 Window_Base standard_padding
    line Window_Base:37 Window_Base standard_padding
  return Window_Base:38 Window_Base standard_padding
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  return Window_Selectable:51 Window_Selectable item_width
    call Window_Selectable:37 Window_Selectable spacing
    line Window_Selectable:38 Window_Selectable spacing
  return Window_Selectable:39 Window_Selectable spacing
  c-call Window_Selectable:176 Rect x=
c-return Window_Selectable:176 Rect x=
    line Window_Selectable:177 Window_Selectable item_rect
    call Window_Selectable:31 Window_Selectable col_max
    line Window_Selectable:32 Window_Selectable col_max
  return Window_Selectable:33 Window_Selectable col_max
    call Window_Selectable:55 Window_Selectable item_height
    line Window_Selectable:56 Window_Selectable item_height
    call Window_Base:30 Window_Base line_height
    line Window_Base:31 Window_Base line_height
  return Window_Base:32 Window_Base line_height
  return Window_Selectable:57 Window_Selectable item_height
  c-call Window_Selectable:177 Rect y=
c-return Window_Selectable:177 Rect y=
    line Window_Selectable:178 Window_Selectable item_rect
  return Window_Selectable:179 Window_Selectable item_rect
    line Window_Command_2:152 Window_Command draw_item
  c-call Window_Command_2:152 Class new
    call Comp_TitleCommand:2 Comp_Command initialize
    line Comp_TitleCommand:3 Comp_Command initialize
    line Comp_TitleCommand:4 Comp_Command initialize
    line Comp_TitleCommand:6 Comp_Command initialize
  c-call Comp_TitleCommand:6 Window x
c-return Comp_TitleCommand:6 Window x
  c-call Comp_TitleCommand:6 Rect x
c-return Comp_TitleCommand:6 Rect x
  c-call Comp_TitleCommand:6 Window y
c-return Comp_TitleCommand:6 Window y
  c-call Comp_TitleCommand:6 Rect y
c-return Comp_TitleCommand:6 Rect y
  c-call Comp_TitleCommand:6 Rect width
c-return Comp_TitleCommand:6 Rect width
  c-call Comp_TitleCommand:6 Rect height
c-return Comp_TitleCommand:6 Rect height
  c-call Comp_TitleCommand:6 Window z
c-return Comp_TitleCommand:6 Window z
    call Mouse Comp:94 CMouse::Component initialize
    line Mouse Comp:95 CMouse::Component initialize
    line Mouse Comp:96 CMouse::Component initialize
    line Mouse Comp:97 CMouse::Component initialize
    line Mouse Comp:98 CMouse::Component initialize
    line Mouse Comp:99 CMouse::Component initialize
    line Mouse Comp:100 CMouse::Component initialize
    call Mouse Comp:52 CMouse::UICore add
    line Mouse Comp:55 CMouse::UICore add
  c-call Mouse Comp:55 Range each
    line Mouse Comp:56 CMouse::UICore add
    line Mouse Comp:57 CMouse::UICore add
  c-call Mouse Comp:57 Array insert
c-return Mouse Comp:57 Array insert
    line Mouse Comp:58 CMouse::UICore add
c-return Mouse Comp:55 Range each
  return Mouse Comp:55 CMouse::UICore add
    line Mouse Comp:101 CMouse::Component initialize
    line Mouse Comp:102 CMouse::Component initialize
    line Mouse Comp:106 CMouse::Component initialize
    line Mouse Comp:107 CMouse::Component initialize
    line Mouse Comp:108 CMouse::Component initialize
  c-call Mouse Comp:108 Class new
  c-call Mouse Comp:108 Sprite initialize
c-return Mouse Comp:108 Sprite initialize
c-return Mouse Comp:108 Class new
    line Mouse Comp:109 CMouse::Component initialize
  c-call Mouse Comp:109 Sprite x=
c-return Mouse Comp:109 Sprite x=
    line Mouse Comp:110 CMouse::Component initialize
  c-call Mouse Comp:110 Sprite y=
c-return Mouse Comp:110 Sprite y=
    line Mouse Comp:111 CMouse::Component initialize
  c-call Mouse Comp:111 Sprite z=
c-return Mouse Comp:111 Sprite z=
    line Mouse Comp:112 CMouse::Component initialize
  c-call Mouse Comp:112 Class new
  c-call Mouse Comp:112 Bitmap initialize
  c-call Mouse Comp:112 Font initialize
  c-call Mouse Comp:112 Font name=
c-return Mouse Comp:112 Font name=
  c-call Mouse Comp:112 Font size=
c-return Mouse Comp:112 Font size=
  c-call Mouse Comp:112 Font bold=
c-return Mouse Comp:112 Font bold=
  c-call Mouse Comp:112 Font italic=
c-return Mouse Comp:112 Font italic=
  c-call Mouse Comp:112 Font outline=
c-return Mouse Comp:112 Font outline=
  c-call Mouse Comp:112 Font shadow=
c-return Mouse Comp:112 Font shadow=
c-return Mouse Comp:112 Font initialize
c-return Mouse Comp:112 Bitmap initialize
c-return Mouse Comp:112 Class new
  c-call Mouse Comp:112 Sprite bitmap=
c-return Mouse Comp:112 Sprite bitmap=
    line Mouse Comp:113 CMouse::Component initialize
    call Comp_TitleCommand:8 Comp_Command onInit
  return Comp_TitleCommand:9 Comp_Command onInit
